train_loss	time	acc	eval_loss
2.5656534086299847	23.005752563476562	0.3932	1.6760724541867615
1.9351202026952672	23.912715435028076	0.6035	1.0626736604104376
1.580022838548266	23.773364543914795	0.7077	0.8821596322925227
1.355501955068564	23.608240604400635	0.7047	0.9010835878408638
1.1979745381240603	23.520110607147217	0.7261	0.8716525065291459
1.068298367382605	23.3923122882843	0.7503	0.868983195560753
0.9726326460486941	23.329983472824097	0.7556	0.8179388191479786
0.8911157061310508	23.332130432128906	0.7498	0.9097628469110295
0.8225903935866684	23.337834358215332	0.773	0.8072677204373536
0.7679196563325351	23.29317569732666	0.7691	0.8647188866973683
0.7212425871088809	23.196439027786255	0.7336	0.9963459839486772
0.6825848231602948	23.962465286254883	0.7365	1.0902006414001155
0.6453348279594214	24.248406410217285	0.7456	0.9555637108007814
0.6122434359939792	23.919344186782837	0.7628	0.9786352657588424
0.5807945935456436	23.065471410751343	0.7718	0.998969958751065
0.5528098571606428	23.035010814666748	0.7612	1.0639447281315069
0.5277961964551873	24.662909746170044	0.7324	1.1418056264519691
0.5068799018500957	24.89802885055542	0.7422	1.227999315567457
0.48611777831553954	24.654135704040527	0.7593	1.2218825145132224
0.46596512937729684	24.868656158447266	0.749	1.2956563744955003
0.44973682069442517	24.97143530845642	0.7579	1.1449188509374668
0.43389151174300733	24.446916341781616	0.7276	1.2804629438242334
0.41870288518869947	24.8124737739563	0.7543	1.1945647516637852
0.40431129785877445	24.63015866279602	0.7632	1.2685521355100497
0.3924142614285214	24.186723947525024	0.7636	1.139045369188497
0.3797581068778768	23.28633403778076	0.7675	1.235060898931163
0.3677599838822626	23.291670083999634	0.7626	1.3202310614999693
0.3571285070088535	23.234180212020874	0.7678	1.2097944138915675
0.34675005609557824	23.10203742980957	0.7691	1.2908580456000225
0.337177728058452	23.033085823059082	0.7499	1.4373560090353534
0.32958440354317137	23.511265754699707	0.7589	1.2843477542802786
0.32164161259618285	23.1623797416687	0.7618	1.3510286828894524
