train_loss	time	acc	eval_loss
0.7558265738660777	86.75020909309387	0.6616	1.1887983835426865
0.5460665085930613	90.25732851028442	0.7638	0.7707689756610591
0.4369606377816276	90.43820118904114	0.7769	0.8158577247789711
0.36862465056083815	90.64329481124878	0.7588	0.9334954178067529
0.32489433801155304	96.03342795372009	0.746	0.9735628950178243
0.29432850834453783	90.92144107818604	0.7617	1.0137013402903916
0.27164953302720035	91.15593218803406	0.7896	0.8527051932682657
0.2513386958051779	91.28371262550354	0.7702	1.0220181503493315
0.23519230696324223	91.30850648880005	0.7816	0.9527276417916748
0.22146122558867629	91.34853172302246	0.7657	1.0251696777951187
0.20988262213672262	91.79116678237915	0.781	0.9523702913029178
0.20045320112808343	95.76618218421936	0.7184	1.4448095213810566
0.1912665646015408	96.50476932525635	0.7842	0.955566512076718
0.1830400047684004	97.424471616745	0.7721	1.0058023301279468
0.17685886710284882	97.88513207435608	0.783	1.0016688990175344
0.17019966005530396	97.54570651054382	0.7676	1.112565981449595
0.16316204084040442	96.99987554550171	0.6892	1.6611272329167954
0.15728639387171953	96.4523434638977	0.7713	1.1483741025588694
0.152044323816378	97.82581353187561	0.7713	1.1751926061549005
0.14711767479915855	96.38065028190613	0.7265	1.506433735607536
0.14258787206417897	98.03607940673828	0.7521	1.3868515919308195
0.1394311841074924	91.77282738685608	0.788	1.0450309007339607
0.13583591310284318	91.3764922618866	0.7694	1.1765143142443648
0.13259396613744984	91.27464985847473	0.7621	1.2282011441554233
0.12869091514444944	91.43755221366882	0.7731	1.324908080564183
0.12520547374962135	95.51044940948486	0.7623	1.3370983962230623
0.12255265266880999	92.1047670841217	0.7095	1.7447330920844322
0.11973198762275988	91.8145592212677	0.7831	1.2829045978416302
0.1163079629079958	91.77716183662415	0.7531	1.6614306874715599
0.11348100599445027	91.54884028434753	0.7686	1.201888377784164
0.11039214750679646	91.56718468666077	0.7301	1.9073487332766983
0.10778030354239364	91.60365056991577	0.7868	1.283133428567534
